index,date,median,max,functions
33375,2024-09-26T23:24:14+02:00,56,77685556454280,3038
33642,2024-10-26T23:45:32+02:00,56,24875724340224,3065
33909,2024-12-23T23:03:10+01:00,56,51397784874,3074
34176,2025-02-03T20:10:09+01:00,56,154193354622,3114
34443,2025-02-26T12:35:03+01:00,56,103525832982528,3100
34710,2025-03-24T22:41:53+01:00,56,103525832982528,3126
34977,2025-04-25T17:39:27+02:00,56,67669445412,3201
35244,2025-06-05T12:41:15+02:00,56,66808510992,3312
35511,2025-07-09T13:52:17+02:00,56,66808510992,3316
35778,2025-08-05T13:47:47+02:00,56,66808510992,3308
36045,2025-09-12T11:03:44+02:00,56,66808510992,3355
36312,2025-10-06T03:26:43+02:00,58,66636324108,3318
36579,2025-10-21T17:18:35+02:00,56,66636324108,3339
36846,2025-11-12T21:40:21+01:00,56,66636324108,3343
37113,2025-12-01T18:09:09+01:00,56,66980697876,3377
37380,2025-12-22T23:01:05+01:00,56,66980697876,3386
37647,2026-01-21T21:01:46+01:00,56,17147058656256,3355
37914,2026-02-26T17:13:16+01:00,56,262519949721600,3379
38181,2026-03-21T18:54:23+01:00,56,262519949721600,3393
38448,2026-04-17T10:01:49+02:00,56,262519949721600,3555
38715,2026-05-20T11:53:29+02:00,56,2362679547494400,3631
38982,2026-06-15T14:27:07+02:00,56,7088038642483200,3714
39249,2026-07-23T12:56:18+02:00,60,7035142831718400,3758
39516,2026-08-26T10:02:09+02:00,60,7008694926336000,3832
39783,2026-09-19T10:41:09+02:00,60,1756987250363596800,3837
